DateValue,c_hosp,c_icu,c_vent
2020-05-10,71,24,18
2020-05-20,50,19,18
2020-05-09,77,24,19
2020-05-17,56,20,15
2020-05-29,34,16,15
2020-05-23,45,21,17
2020-05-19,50,18,17
2020-05-16,62,17,13
2020-05-22,48,20,17
2020-04-27,100,20,17
2020-05-14,61,22,17
2020-04-03,45,12,9
2020-04-20,103,21,18
2020-04-18,100,25,20
2020-05-01,82,15,14
2020-05-21,49,19,18
2020-04-30,93,15,14
2020-05-08,70,24,18
2020-04-21,100,22,15
2020-04-22,103,23,15
2020-05-24,45,18,16
2020-04-05,55,8,8
2020-04-17,96,23,18
2020-04-24,104,16,13
2020-04-11,76,22,17
2020-04-28,97,18,17
2020-04-25,102,18,14
2020-05-26,42,17,14
2020-04-12,73,19,16
2020-04-13,85,21,18
2020-04-26,98,19,15
2020-03-30,30,5,4
2020-04-23,100,17,13
2020-04-14,88,24,20
2020-05-30,35,15,15
2020-05-31,40,17,14
2020-05-13,58,23,17
2020-04-06,57,10,9
2020-04-16,96,22,19
2020-04-29,91,15,14
2020-04-10,72,20,16
2020-04-01,34,9,7
2020-05-15,60,20,16
2020-04-19,101,25,21
2020-03-31,32,7,5
2020-04-04,49,10,9
2020-04-08,71,13,12
2020-05-25,45,17,15
2020-05-18,53,17,15
2020-05-28,36,16,15
2020-05-04,76,20,16
2020-05-02,82,19,17
2020-05-03,78,18,16
2020-05-06,66,17,15
2020-05-12,74,27,20
2020-05-05,66,18,15
2020-05-07,66,20,16
2020-05-27,43,16,13
2020-05-11,74,25,18
2020-04-02,39,10,7
2020-03-27,21,5,5
2020-04-15,89,24,21
2020-04-09,65,13,12
2020-03-24,14,5,1
2020-03-26,22,4,4
2020-03-17,4,4,1
2020-03-28,22,5,4
2020-03-21,6,3,2
2020-03-23,10,2,1
2020-04-07,64,11,10
2020-03-16,2,1,1
2020-03-29,26,5,4
2020-03-22,6,3,2
2020-03-20,6,3,2
2020-03-10,1,1,1
2020-03-13,3,1,1
2020-03-25,19,2,2
2020-03-15,4,1,1
2020-03-19,6,3,2
2020-03-18,6,1,0
2020-03-11,1,1,1
2020-03-12,1,1,1
2020-03-14,4,1,1
