DateValue,ToPrintDCMC.DCMCData.c_hosp,ToPrintDCMC.DCMCData.c_icu,ToPrintDCMC.DCMCData.c_vent
2020-03-13,1,0,Not Calculated
2020-03-14,2,0,Not Calculated
2020-03-15,2,0,Not Calculated
2020-03-16,3,0,Not Calculated
2020-03-17,3,0,Not Calculated
2020-03-18,3,0,Not Calculated
2020-03-19,4,0,Not Calculated
2020-03-20,4,1,Not Calculated
2020-03-21,9,2,Not Calculated
2020-03-22,11,2,Not Calculated
2020-03-23,12,3,Not Calculated
2020-03-24,16,4,Not Calculated
2020-03-25,13,3,Not Calculated
2020-03-26,16,5,Not Calculated
2020-03-27,18,5,Not Calculated
2020-03-28,17,6,Not Calculated
2020-03-29,23,7,Not Calculated
2020-03-30,26,11,Not Calculated
2020-03-31,31,11,Not Calculated
2020-04-01,38,15,Not Calculated
2020-04-02,49,16,Not Calculated
2020-04-03,46,16,Not Calculated
2020-04-04,49,15,Not Calculated
2020-04-05,52,18,Not Calculated
2020-04-06,53,19,Not Calculated
2020-04-07,53,22,Not Calculated
2020-04-08,53,23,Not Calculated
2020-04-09,58,21,Not Calculated
2020-04-10,60,20,Not Calculated
2020-04-11,67,20,Not Calculated
2020-04-12,62,18,Not Calculated
2020-04-13,64,21,Not Calculated
2020-04-14,63,22,Not Calculated
2020-04-15,61,20,Not Calculated
2020-04-16,59,19,Not Calculated
2020-04-17,60,21,Not Calculated
2020-04-18,64,22,Not Calculated
2020-04-19,65,22,Not Calculated
2020-04-20,65,22,Not Calculated
2020-04-21,66,26,Not Calculated
2020-04-22,67,24,Not Calculated
2020-04-23,72,25,Not Calculated
2020-04-24,70,23,Not Calculated
2020-04-25,66,24,Not Calculated
2020-04-26,77,27,Not Calculated
2020-04-27,77,26,Not Calculated
2020-04-28,67,22,Not Calculated
2020-04-29,67,22,Not Calculated
2020-04-30,63,22,Not Calculated
2020-05-01,61,20,Not Calculated
2020-05-02,64,21,Not Calculated
2020-05-03,63,18,Not Calculated
2020-05-04,62,20,Not Calculated
2020-05-05,65,20,Not Calculated
2020-05-06,59,18,Not Calculated
2020-05-07,60,17,Not Calculated
2020-05-08,60,20,Not Calculated
2020-05-09,53,19,Not Calculated
2020-05-10,48,20,Not Calculated
2020-05-11,48,19,Not Calculated
2020-05-12,50,20,Not Calculated
2020-05-13,57,21,Not Calculated
2020-05-14,53,22,Not Calculated
2020-05-15,54,20,Not Calculated
2020-05-16,54,19,Not Calculated
2020-05-17,50,17,Not Calculated
2020-05-18,50,17,Not Calculated
2020-05-19,47,18,Not Calculated
2020-05-20,49,19,Not Calculated
2020-05-21,50,18,Not Calculated
2020-05-22,51,21,Not Calculated
2020-05-23,51,19,Not Calculated
2020-05-24,50,19,Not Calculated
2020-05-25,52,21,Not Calculated
2020-05-26,49,20,Not Calculated
2020-05-27,44,18,Not Calculated
2020-05-28,43,19,Not Calculated
2020-05-29,42,21,Not Calculated
2020-05-30,42,20,Not Calculated
2020-05-31,53,21,Not Calculated
